,county,state,hazard score,wildfire,tornado,landslide,hurricane,earthquake,drought,heatwave,avalanche,flood
2472,Costilla County,CO,10,1,1,1,0,2,0,3,1,1
2473,Coshocton County,OH,9,1,1,2,0,1,0,1,0,3
2474,Coryell County,TX,8,1,2,1,0,1,0,2,0,1
2475,Cortland County,NY,9,1,1,2,1,1,0,1,0,2
2476,Corson County,SD,7,1,1,2,0,1,0,1,0,1
2477,Copiah County,MS,15,3,3,2,2,1,0,3,0,1
2478,Coosa County,AL,10,2,1,1,2,1,0,2,0,1
2479,Coos County,NH,9,1,1,2,1,1,0,1,0,2
2480,Coos County,OR,9,1,0,3,0,3,0,1,0,1
2481,Cooper County,MO,10,1,2,2,0,1,0,3,0,1
2482,Cooke County,TX,12,1,3,1,1,1,0,3,0,2
2483,Cook County,GA,14,1,3,1,3,1,0,3,0,2
2484,Cook County,MN,9,2,1,1,0,1,0,3,0,1
2485,Cook County,IL,12,1,3,1,0,1,0,3,0,3
2486,Conway County,AR,13,1,3,3,0,2,0,3,0,1
2487,Converse County,WY,9,3,1,1,0,2,0,1,0,1
2488,Contra Costa County,CA,13,1,1,2,0,3,2,1,0,3
2489,Conejos County,CO,10,1,1,2,0,2,0,3,0,1
2490,Conecuh County,AL,14,3,2,1,3,1,0,3,0,1
2491,Concordia Parish,LA,13,1,2,3,2,1,0,3,0,1
2492,Concho County,TX,9,1,1,1,1,1,0,3,0,1
2493,Comanche County,KS,9,2,2,1,0,1,0,2,0,1
2494,Comanche County,OK,11,1,3,1,0,2,0,2,0,2
2495,Comanche County,TX,10,2,3,1,0,1,0,2,0,1
2496,Comal County,TX,11,1,1,2,0,1,0,3,0,3
2497,Colusa County,CA,13,2,0,2,0,2,1,3,0,3
2498,Columbus County,NC,15,3,2,1,3,1,0,3,0,2
2499,Columbiana County,OH,10,1,2,3,1,1,0,1,0,1
2500,Columbia County,NY,10,1,2,2,1,1,0,2,0,1
2501,Columbia County,WA,10,2,1,1,0,2,1,2,0,1
2502,Columbia County,PA,12,1,1,3,1,1,0,2,0,3
2503,Columbia County,OR,10,1,1,2,0,2,0,2,0,2
2504,Columbia County,GA,12,2,1,1,2,2,0,2,0,2
2505,Columbia County,FL,14,3,1,1,3,1,0,2,0,3
2506,Columbia County,AR,13,3,3,1,2,1,0,2,0,1
2507,Columbia County,WI,10,1,2,2,0,1,0,2,0,2
2508,Colquitt County,GA,15,2,3,1,3,1,0,3,0,2
2509,Colorado County,TX,13,1,2,1,2,1,0,3,0,3
2510,Colonial Heights County,VA,8,1,0,2,0,1,0,1,0,3
2511,Collingsworth County,TX,11,2,3,1,0,1,0,3,0,1
2512,Collin County,TX,13,1,3,2,1,1,0,3,0,2
2513,Collier County,FL,15,3,1,1,3,1,0,3,0,3
2514,Colleton County,SC,13,3,1,1,3,2,0,2,0,1
2515,Colfax County,NE,11,1,3,1,0,1,0,2,0,3
2516,Colfax County,NM,9,2,1,2,0,1,0,2,0,1
2517,Coles County,IL,9,1,3,1,0,1,0,2,0,1
2518,Coleman County,TX,9,1,2,1,0,1,0,3,0,1
2519,Cole County,MO,11,1,1,2,0,1,0,3,0,3
2520,Colbert County,AL,13,1,3,2,1,2,0,3,0,1
2521,Coke County,TX,9,2,1,1,1,1,0,2,0,1
2522,Coffey County,KS,9,1,2,1,0,1,0,3,0,1
2523,Coffee County,TN,12,1,2,2,1,1,0,3,0,2
2524,Coffee County,GA,15,3,2,1,3,1,0,3,0,2
2525,Coffee County,AL,14,1,3,1,3,1,0,3,0,2
2526,Codington County,SD,9,1,2,1,0,1,0,2,0,2
2527,Coconino County,AZ,10,2,1,1,0,1,1,3,0,1
2528,Cocke County,TN,11,1,1,3,0,2,0,3,0,1
2529,Cochran County,TX,8,1,2,1,0,1,0,2,0,1
2530,Cochise County,AZ,13,2,1,1,1,1,1,3,0,3
2531,Cobb County,GA,16,1,3,3,2,1,0,3,0,3
2532,Coal County,OK,12,2,3,2,0,1,0,3,0,1
2533,Coahoma County,MS,15,1,3,2,1,2,0,3,0,3
2534,Cloud County,KS,11,1,3,2,0,1,0,2,0,2
2535,Clinton County,IA,8,1,3,1,0,1,0,1,0,1
2536,Clinton County,NY,9,1,1,2,1,2,0,1,0,1
2537,Clinton County,IN,8,1,3,1,0,1,0,1,0,1
2538,Clinton County,PA,12,1,1,3,2,1,0,1,0,3
2539,Clinton County,OH,7,1,2,1,0,1,0,1,0,1
2540,Clinton County,IL,8,1,2,1,0,2,0,1,0,1
2541,Clinton County,MO,9,1,2,3,0,1,0,1,0,1
2542,Clinton County,KY,13,1,3,3,2,1,0,1,0,2
2543,Clinton County,MI,7,1,2,1,0,1,0,1,0,1
2544,Clinch County,GA,13,3,1,1,3,1,0,3,0,1
2545,Cleveland County,NC,15,2,2,3,2,1,0,3,0,2
2546,Cleveland County,OK,13,1,3,1,0,2,0,3,0,3
2547,Cleveland County,AR,11,2,1,1,2,1,0,3,0,1
2548,Clermont County,OH,11,1,2,2,0,1,0,3,0,2
2549,Cleburne County,AR,13,1,2,2,0,2,0,3,0,3
2550,Cleburne County,AL,13,2,2,2,2,1,0,3,0,1
2551,Clearwater County,MN,7,2,1,1,0,1,0,1,0,1
2552,Clearwater County,ID,8,3,1,1,0,1,0,1,0,1
2553,Clearfield County,PA,9,1,1,3,1,1,0,1,0,1
2554,Clear Creek County,CO,12,1,1,2,0,2,0,3,2,1
2555,Clayton County,IA,9,1,1,2,0,1,0,2,0,2
2556,Clayton County,GA,13,1,3,1,2,1,0,2,0,3
2557,Clay County,MN,9,1,2,1,0,1,0,1,0,3
2558,Clay County,NE,7,1,2,1,0,1,0,1,0,1
2559,Clay County,IA,8,1,3,1,0,1,0,1,0,1
2560,Clay County,SD,9,1,3,2,0,1,0,1,0,1
2561,Clay County,IN,8,1,2,2,0,1,0,1,0,1
2562,Clay County,KS,9,1,3,2,0,1,0,1,0,1
2563,Clay County,TN,9,1,0,2,2,1,0,1,0,2
2564,Clay County,WV,7,1,0,3,0,1,0,1,0,1
2565,Clay County,MO,12,1,3,3,0,1,0,1,0,3
2566,Clay County,AR,10,1,2,1,1,3,0,1,0,1
2567,Clay County,KY,10,1,1,3,1,2,0,1,0,1
2568,Clay County,IL,8,1,2,1,0,2,0,1,0,1
2569,Clay County,FL,14,3,2,1,3,1,0,1,0,3
2570,Clay County,NC,9,1,1,3,0,2,0,1,0,1
2571,Clay County,MS,10,1,2,1,2,1,0,1,0,2
2572,Clay County,GA,10,2,1,1,3,1,0,1,0,1
2573,Clay County,TX,8,3,1,1,0,1,0,1,0,1
2574,Clay County,AL,9,2,2,1,1,1,0,1,0,1
2575,Clatsop County,OR,11,1,1,3,0,3,0,1,0,2
2576,Clarke County,IA,9,1,2,2,0,1,0,2,0,1
2577,Clarke County,VA,14,1,2,3,2,1,0,2,0,3
2578,Clarke County,AL,11,2,2,1,2,1,0,2,0,1
2579,Clarke County,MS,12,2,2,2,2,1,0,2,0,1
2580,Clarke County,GA,14,1,2,3,2,1,0,2,0,3
2581,Clark County,SD,7,1,2,1,0,1,0,1,0,1
2582,Clark County,ID,8,2,1,1,0,2,0,1,0,1
2583,Clark County,WI,6,1,1,1,0,1,0,1,0,1
2584,Clark County,WA,9,1,1,1,0,2,0,1,0,3
2585,Clark County,MO,8,1,2,1,0,1,0,1,0,2
2586,Clark County,OH,8,1,2,1,0,1,0,1,0,2
2587,Clark County,IL,7,1,1,1,0,2,0,1,0,1
2588,Clark County,KS,7,1,2,1,0,1,0,1,0,1
2589,Clark County,IN,11,1,3,2,0,1,0,1,0,3
2590,Clark County,NV,9,2,1,1,0,2,0,1,0,2
2591,Clark County,KY,7,1,1,1,0,1,0,1,0,2
2592,Clark County,AR,9,2,2,1,1,1,0,1,0,1
2593,Clarion County,PA,8,1,1,3,0,1,0,1,0,1
2594,Clarendon County,SC,16,2,2,1,3,2,0,3,0,3
2595,Clare County,MI,6,1,1,1,0,1,0,1,0,1
2596,Clallam County,WA,8,1,0,1,0,3,0,2,0,1
2597,Claiborne County,TN,12,2,1,3,0,2,0,3,0,1
2598,Claiborne Parish,LA,13,3,2,1,2,1,0,3,0,1
2599,Claiborne County,MS,15,1,3,3,2,1,0,3,0,2
2600,Clackamas County,OR,10,3,1,1,0,2,0,1,0,2
2601,Citrus County,FL,17,3,3,1,3,1,0,3,0,3
2602,Cimarron County,OK,6,1,1,1,0,1,0,1,0,1
2603,Cibola County,NM,11,2,1,2,0,1,1,3,0,1
2604,Churchill County,NV,11,2,1,1,0,2,1,3,0,1
2605,Christian County,KY,11,1,1,1,1,2,0,3,0,2
2606,Christian County,MO,9,1,2,1,0,1,0,3,0,1
2607,Christian County,IL,9,1,2,1,0,1,0,3,0,1
2608,Chowan County,NC,14,1,3,1,3,1,0,2,0,3
2609,Chouteau County,MT,8,1,1,3,0,1,0,1,0,1
2610,Choctaw County,AL,11,2,1,1,2,1,0,3,0,1
2611,Choctaw County,MS,11,2,1,1,2,1,0,3,0,1
2612,Choctaw County,OK,12,2,2,2,1,1,0,3,0,1
2613,Chittenden County,VT,10,1,1,2,1,2,0,1,0,2
2614,Chisago County,MN,8,1,1,1,0,1,0,2,0,2
2615,Chippewa County,WI,9,1,2,1,0,1,0,2,0,2
2616,Chippewa County,MN,7,1,1,1,0,1,0,2,0,1
2617,Chippewa County,MI,7,1,1,1,0,1,0,2,0,1
2618,Chilton County,AL,12,2,2,2,2,1,0,2,0,1
2619,Childress County,TX,9,1,2,1,0,1,0,3,0,1
2620,Chicot County,AR,12,1,2,2,2,1,0,3,0,1
2621,Chickasaw County,IA,9,1,3,1,0,1,0,2,0,1
2622,Chickasaw County,MS,10,1,2,1,2,1,0,2,0,1
2623,Cheyenne County,NE,7,1,2,1,0,1,0,1,0,1
2624,Cheyenne County,KS,7,1,2,1,0,1,0,1,0,1
2625,Cheyenne County,CO,8,1,2,2,0,1,0,1,0,1
2626,Chesterfield County,VA,11,1,2,2,2,1,0,1,0,2
2627,Chesterfield County,SC,12,3,2,2,2,1,0,1,0,1
2628,Chester County,PA,12,1,2,1,2,1,0,2,0,3
2629,Chester County,TN,8,1,1,1,0,2,0,2,0,1
2630,Chester County,SC,11,2,1,2,2,1,0,2,0,1
2631,Cheshire County,NH,12,1,1,2,2,2,0,1,0,3
2632,Chesapeake County,VA,12,1,2,1,3,1,0,1,0,3
2633,Cherry County,NE,7,2,1,1,0,1,0,1,0,1
2634,Cherokee County,IA,8,1,2,2,0,1,0,1,0,1
2635,Cherokee County,OK,9,2,2,2,0,1,0,1,0,1
2636,Cherokee County,KS,8,1,3,1,0,1,0,1,0,1
2637,Cherokee County,AL,12,2,1,2,1,2,0,1,0,3
2638,Cherokee County,GA,12,1,3,3,1,2,0,1,0,1
2639,Cherokee County,NC,10,1,1,3,0,2,0,1,0,2
2640,Cherokee County,TX,11,3,2,1,2,1,0,1,0,1
2641,Cherokee County,SC,12,2,2,3,2,1,0,1,0,1
2642,Chenango County,NY,8,1,1,2,0,1,0,1,0,2
2643,Chemung County,NY,8,1,1,1,2,1,0,1,0,1
2644,Chelan County,WA,11,3,0,1,0,2,0,2,2,1
2645,Cheboygan County,MI,6,1,1,1,0,1,0,1,0,1
2646,Cheatham County,TN,12,1,2,1,0,2,0,3,0,3
2647,Chaves County,NM,9,2,1,1,0,1,0,3,0,1
2648,Chautauqua County,KS,10,3,1,1,0,1,0,3,0,1
2649,Chautauqua County,NY,9,1,2,1,0,1,0,3,0,1
2650,Chattooga County,GA,12,3,1,3,0,2,0,2,0,1
2651,Chattahoochee County,GA,14,3,1,2,2,1,0,2,0,3
2652,Chatham County,NC,12,2,1,2,2,1,0,3,0,1
2653,Chatham County,GA,18,3,3,1,3,2,0,3,0,3
2654,Chase County,NE,7,1,2,1,0,1,0,1,0,1
2655,Chase County,KS,9,3,2,1,0,1,0,1,0,1
2656,Charlton County,GA,14,3,1,1,3,1,0,3,0,2
2657,Charlottesville County,VA,13,1,0,3,3,1,0,2,0,3
2658,Charlotte County,VA,9,1,1,1,2,1,0,2,0,1
2659,Charlotte County,FL,16,3,3,1,3,1,0,2,0,3
2660,Charlevoix County,MI,7,1,1,1,0,1,0,2,0,1
2661,Charleston County,SC,15,3,2,1,3,3,0,2,0,1
2662,Charles Mix County,SD,8,1,2,2,0,1,0,1,0,1
2663,Charles City County,VA,11,1,2,1,3,1,0,1,0,2
2664,Charles County,MD,13,1,3,1,2,1,0,2,0,3
2665,Chariton County,MO,11,1,2,2,0,1,0,3,0,2
2666,Champaign County,IL,9,1,3,1,0,1,0,2,0,1
2667,Champaign County,OH,8,1,1,1,0,1,0,2,0,2
2668,Chambers County,AL,11,2,1,1,2,1,0,3,0,1
2669,Chambers County,TX,16,3,2,1,3,1,0,3,0,3
2670,Chaffee County,CO,12,1,1,2,0,2,0,3,2,1
2671,Cerro Gordo County,IA,9,1,3,1,0,1,0,1,0,2
2672,Centre County,PA,9,1,1,3,1,1,0,1,0,1
2673,Cedar County,NE,9,1,2,2,0,1,0,2,0,1
2674,Cedar County,IA,9,1,3,1,0,1,0,2,0,1
2675,Cedar County,MO,7,1,1,1,0,1,0,2,0,1
2676,Cecil County,MD,12,1,2,1,2,1,0,3,0,2
2677,Cayuga County,NY,8,1,1,1,1,1,0,1,0,2
2678,Cavalier County,ND,6,1,1,1,0,1,0,1,0,1
2679,Cattaraugus County,NY,7,1,1,1,1,1,0,1,0,1
2680,Catron County,NM,11,3,0,1,1,1,1,3,0,1
2681,Catoosa County,GA,13,2,0,3,0,2,0,3,0,3
2682,Catawba County,NC,14,1,2,3,2,1,0,3,0,2
2683,Catahoula Parish,LA,12,1,2,2,2,1,0,3,0,1
2684,Caswell County,NC,11,1,1,3,1,1,0,2,0,2
2685,Castro County,TX,10,1,3,1,0,1,0,3,0,1
2686,Cassia County,ID,9,3,1,1,0,1,0,2,0,1
2687,Cass County,ND,9,1,2,1,0,1,0,1,0,3
2688,Cass County,MN,6,1,1,1,0,1,0,1,0,1
2689,Cass County,IN,8,1,2,1,0,1,0,1,0,2
2690,Cass County,IA,10,1,3,2,0,1,0,1,0,2
2691,Cass County,NE,9,1,3,1,0,1,0,1,0,2
2692,Cass County,IL,8,1,1,1,0,1,0,1,0,3
2693,Cass County,MO,9,1,2,2,0,1,0,1,0,2
2694,Cass County,TX,10,3,3,1,0,1,0,1,0,1
2695,Cass County,MI,7,1,2,1,0,1,0,1,0,1
2696,Casey County,KY,8,1,1,2,0,1,0,2,0,1
2697,Cascade County,MT,8,1,1,2,0,1,0,1,0,2
2698,Carver County,MN,9,1,2,2,0,1,0,2,0,1
2699,Carteret County,NC,15,3,3,1,3,1,0,1,0,3
2700,Carter County,MT,7,1,1,2,0,1,0,1,0,1
2701,Carter County,MO,9,1,2,1,1,2,0,1,0,1
2702,Carter County,TN,10,1,1,3,0,2,0,1,0,2
2703,Carter County,KY,9,1,1,3,0,1,0,1,0,2
2704,Carter County,OK,9,1,3,1,0,2,0,1,0,1
2705,Carson City County,NV,16,3,1,1,0,3,2,3,0,3
2706,Carson County,TX,9,1,3,1,0,1,0,2,0,1
2707,Carroll County,IA,9,1,3,2,0,1,0,1,0,1
2708,Carroll County,NH,11,1,1,2,2,2,0,1,0,2
2709,Carroll County,IN,7,1,2,1,0,1,0,1,0,1
2710,Carroll County,OH,9,1,1,3,1,1,0,1,0,1
2711,Carroll County,TN,9,1,2,1,1,2,0,1,0,1
2712,Carroll County,MO,8,1,1,2,0,1,0,1,0,2
2713,Carroll County,KY,10,1,2,2,0,1,0,1,0,3
2714,Carroll County,AR,8,1,2,2,0,1,0,1,0,1
2715,Carroll County,VA,9,1,1,3,1,1,0,1,0,1
2716,Carroll County,MD,10,1,1,2,2,1,0,1,0,2
2717,Carroll County,GA,12,2,3,2,2,1,0,1,0,1
2718,Carroll County,MS,11,2,2,2,2,1,0,1,0,1
2719,Carroll County,IL,9,1,2,2,0,1,0,1,0,2
2720,Caroline County,MD,10,1,1,1,2,1,0,2,0,2
2721,Caroline County,VA,11,1,1,2,2,1,0,2,0,2
2722,Carlton County,MN,7,2,1,1,0,1,0,1,0,1
2723,Carlisle County,KY,11,1,1,2,0,3,0,2,0,2
2724,Caribou County,ID,11,2,1,2,0,2,0,3,0,1
2725,Carbon County,WY,9,1,1,2,0,2,0,1,1,1
2726,Carbon County,MT,8,2,1,2,0,1,0,1,0,1
2727,Carbon County,PA,12,1,1,3,2,1,0,1,0,3
2728,Carbon County,UT,8,2,1,1,0,2,0,1,0,1
2729,Cape May County,NJ,11,3,1,1,3,1,0,1,0,1
2730,Cape Girardeau County,MO,13,1,3,1,0,3,0,3,0,2
2731,Canyon County,ID,8,1,1,1,0,1,0,1,0,3
2732,Cannon County,TN,12,1,2,2,2,1,0,3,0,1
2733,Candler County,GA,13,3,1,1,3,1,0,3,0,1
2734,Canadian County,OK,13,1,3,1,1,2,0,2,0,3
2735,Campbell County,SD,9,2,2,2,0,1,0,1,0,1
2736,Campbell County,WY,8,3,1,1,0,1,0,1,0,1
2737,Campbell County,TN,8,1,0,3,0,2,0,1,0,1
2738,Campbell County,KY,10,1,1,3,0,1,0,1,0,3
2739,Campbell County,VA,12,1,1,3,2,1,0,1,0,3
2740,Camp County,TX,13,3,2,1,2,1,0,3,0,1
2741,Cameron County,PA,11,1,1,3,2,1,0,1,0,2
2742,Cameron Parish,LA,14,3,2,1,3,1,0,1,0,3
2743,Cameron County,TX,10,1,2,1,3,1,0,1,0,1
2744,Camden County,NJ,14,1,2,1,3,1,0,3,0,3
2745,Camden County,NC,14,1,2,1,3,1,0,3,0,3
2746,Camden County,MO,9,1,2,1,0,1,0,3,0,1
2747,Camden County,GA,16,3,2,1,3,1,0,3,0,3
2748,Cambria County,PA,9,1,2,3,0,1,0,1,0,1
2749,Camas County,ID,11,3,1,1,0,2,0,1,2,1
2750,Calvert County,MD,9,1,2,1,1,1,0,1,0,2
2751,Calumet County,WI,11,1,3,2,0,1,0,2,0,2
2752,Calloway County,KY,12,1,3,1,0,2,0,3,0,2
2753,Callaway County,MO,12,1,2,2,1,1,0,3,0,2
2754,Callahan County,TX,10,2,3,1,0,1,0,2,0,1
2755,Calhoun County,IA,12,1,3,2,0,1,0,2,0,3
2756,Calhoun County,IL,11,1,2,2,0,1,0,2,0,3
2757,Calhoun County,WV,8,1,0,3,0,1,0,2,0,1
2758,Calhoun County,AL,15,2,3,2,2,1,0,2,0,3
2759,Calhoun County,SC,14,3,2,1,3,2,0,2,0,1
2760,Calhoun County,AR,11,3,2,1,1,1,0,2,0,1
2761,Calhoun County,GA,10,1,1,1,3,1,0,2,0,1
2762,Calhoun County,TX,13,1,2,1,3,1,0,2,0,3
2763,Calhoun County,MS,12,1,2,1,2,2,0,2,0,2
2764,Calhoun County,FL,15,3,2,1,3,1,0,2,0,3
2765,Calhoun County,MI,9,1,2,1,0,1,0,2,0,2
2766,Caledonia County,VT,7,1,0,2,1,1,0,1,0,1
2767,Caldwell County,NC,13,1,1,3,2,1,0,3,0,2
2768,Caldwell County,KY,10,1,2,1,0,2,0,3,0,1
2769,Caldwell County,MO,10,1,2,2,0,1,0,3,0,1
2770,Caldwell County,TX,15,1,3,2,2,1,0,3,0,3
2771,Caldwell Parish,LA,13,2,2,1,2,1,0,3,0,2
2772,Calcasieu Parish,LA,16,2,3,1,3,1,0,3,0,3
2773,Calaveras County,CA,13,3,1,1,0,2,2,3,0,1
2774,Caddo County,OK,11,1,3,1,0,2,0,3,0,1
2775,Caddo Parish,LA,13,1,3,1,2,1,0,3,0,2
2776,Cache County,UT,12,2,1,1,0,2,0,3,2,1
2777,Cabell County,WV,13,2,1,3,1,1,0,2,0,3
2778,Cabarrus County,NC,16,1,2,3,3,1,0,3,0,3
2779,Butts County,GA,11,2,1,1,2,1,0,3,0,1
2780,Butte County,SD,8,1,1,3,0,1,0,1,0,1
2781,Butte County,ID,8,2,1,1,0,2,0,1,0,1
2782,Butte County,CA,12,3,1,1,0,2,1,1,0,3
2783,Butler County,IA,8,1,2,1,0,1,0,2,0,1
2784,Butler County,PA,9,1,1,3,0,1,0,2,0,1
2785,Butler County,NE,10,1,3,1,0,1,0,2,0,2
2786,Butler County,OH,11,1,2,2,0,1,0,2,0,3
2787,Butler County,KY,10,1,1,1,1,1,0,2,0,3
2788,Butler County,MO,14,1,3,1,1,3,0,2,0,3
2789,Butler County,KS,10,2,2,1,0,1,0,2,0,2
2790,Butler County,AL,11,2,2,1,2,1,0,2,0,1
2791,Burt County,NE,8,1,2,1,0,1,0,2,0,1
2792,Burnett County,WI,8,1,1,1,0,1,0,2,0,2
2793,Burnet County,TX,11,2,2,1,0,1,0,3,0,2
2794,Burlington County,NJ,11,3,1,1,2,1,0,2,0,1
2795,Burleson County,TX,11,1,2,1,2,1,0,3,0,1
2796,Burleigh County,ND,9,1,2,2,0,1,0,1,0,2
2797,Burke County,ND,6,1,1,1,0,1,0,1,0,1
2798,Burke County,NC,11,1,1,3,2,1,0,1,0,2
2799,Burke County,GA,10,3,1,1,2,1,0,1,0,1
2800,Bureau County,IL,9,1,2,2,0,1,0,2,0,1
2801,Buncombe County,NC,12,1,1,3,0,2,0,3,0,2
2802,Bullock County,AL,11,2,1,1,2,1,0,3,0,1
2803,Bulloch County,GA,13,2,1,1,3,1,0,3,0,2
2804,Bullitt County,KY,11,1,2,2,0,1,0,2,0,3
2805,Buffalo County,WI,10,1,1,2,0,1,0,3,0,2
2806,Buffalo County,SD,12,3,2,2,0,1,0,3,0,1
2807,Buffalo County,NE,12,1,3,1,0,1,0,3,0,3
2808,Buena Vista County,IA,7,1,2,1,0,1,0,1,0,1
2809,Buena Vista County,VA,9,1,0,3,0,1,0,1,0,3
2810,Bucks County,PA,11,1,2,1,2,1,0,1,0,3
2811,Buckingham County,VA,13,1,1,3,2,2,0,2,0,2
2812,Buchanan County,IA,10,1,3,1,0,1,0,3,0,1
2813,Buchanan County,VA,11,1,0,3,1,1,0,3,0,2
2814,Buchanan County,MO,11,1,2,3,0,1,0,3,0,1
2815,Bryan County,GA,15,3,1,1,3,1,0,3,0,3
2816,Bryan County,OK,11,1,2,2,1,1,0,3,0,1
2817,Brunswick County,VA,12,2,2,1,3,1,0,2,0,1
2818,Brunswick County,NC,14,3,1,1,3,1,0,2,0,3
2819,Brule County,SD,8,1,2,2,0,1,0,1,0,1
2820,Brown County,NE,6,1,1,1,0,1,0,1,0,1
2821,Brown County,SD,9,1,2,1,0,1,0,1,0,3
2822,Brown County,MN,9,1,2,2,0,1,0,1,0,2
2823,Brown County,IL,7,1,2,1,0,1,0,1,0,1
2824,Brown County,KS,9,1,3,2,0,1,0,1,0,1
2825,Brown County,IN,8,1,1,3,0,1,0,1,0,1
2826,Brown County,OH,9,1,2,2,0,1,0,1,0,2
2827,Brown County,TX,8,2,2,1,0,1,0,1,0,1
2828,Brown County,WI,9,1,2,1,0,1,0,1,0,3
2829,Broward County,FL,17,3,3,1,3,1,0,3,0,3
2830,Broomfield County,CO,13,1,3,2,0,1,0,2,1,3
2831,Broome County,NY,8,1,1,2,1,1,0,1,0,1
2832,Brooks County,TX,11,2,1,1,2,1,0,3,0,1
2833,Brooks County,GA,14,3,2,1,3,1,0,3,0,1
2834,Brookings County,SD,8,1,2,1,0,1,0,1,0,2
2835,Brooke County,WV,10,1,1,3,0,1,0,1,0,3
2836,Bronx County,NY,11,1,0,1,3,2,0,1,0,3
2837,Broadwater County,MT,9,2,1,2,0,2,0,1,0,1
2838,Bristol County,RI,11,1,3,1,0,1,0,2,0,3
2839,Bristol County,MA,11,1,1,1,2,1,0,2,0,3
2840,Bristol County,VA,14,1,3,3,0,2,0,2,0,3
2841,Briscoe County,TX,10,2,2,1,0,1,0,3,0,1
2842,Brewster County,TX,9,1,1,1,1,1,0,3,0,1
2843,Brevard County,FL,16,3,3,1,3,1,0,2,0,3
2844,Bremer County,IA,11,1,3,1,0,1,0,3,0,2
2845,Breckinridge County,KY,11,1,1,2,0,1,0,3,0,3
2846,Breathitt County,KY,12,1,1,3,1,1,0,3,0,2
2847,Brazos County,TX,12,1,2,1,2,1,0,3,0,2
2848,Brazoria County,TX,12,1,3,1,3,1,0,2,0,1
2849,Braxton County,WV,9,1,1,3,0,1,0,2,0,1
2850,Brantley County,GA,13,3,1,1,3,1,0,3,0,1
2851,Branch County,MI,8,1,2,1,0,1,0,1,0,2
2852,Bradley County,AR,11,2,2,1,1,1,0,3,0,1
2853,Bradley County,TN,17,1,3,3,2,2,0,3,0,3
2854,Bradford County,FL,16,3,3,1,3,1,0,3,0,2
2855,Bradford County,PA,11,1,1,2,1,1,0,3,0,2
2856,Bracken County,KY,9,1,1,2,0,1,0,2,0,2
2857,Boyle County,KY,9,1,2,2,0,1,0,2,0,1
2858,Boyd County,NE,9,1,1,3,0,1,0,2,0,1
2859,Boyd County,KY,14,1,2,3,2,1,0,2,0,3
2860,Box Elder County,UT,10,1,1,1,0,2,0,2,2,1
2861,Box Butte County,NE,7,1,2,1,0,1,0,1,0,1
2862,Bowman County,ND,8,1,1,2,0,1,0,1,0,2
2863,Bowie County,TX,12,2,3,2,0,1,0,3,0,1
2864,Bourbon County,KY,8,1,1,1,1,1,0,2,0,1
2865,Bourbon County,KS,8,1,2,1,0,1,0,2,0,1
2866,Boundary County,ID,10,3,1,1,0,1,0,2,1,1
2867,Boulder County,CO,13,2,1,2,0,1,0,2,2,3
2868,Bottineau County,ND,6,1,1,1,0,1,0,1,0,1
2869,Botetourt County,VA,12,1,1,3,2,1,0,2,0,2
2870,Bossier Parish,LA,15,2,3,1,2,1,0,3,0,3
2871,Bosque County,TX,11,1,2,1,2,1,0,3,0,1
2872,Borden County,TX,8,2,1,1,0,1,0,2,0,1
2873,Boone County,NE,8,1,2,1,0,1,0,2,0,1
2874,Boone County,IA,10,1,3,2,0,1,0,2,0,1
2875,Boone County,IN,10,1,3,1,0,1,0,2,0,2
2876,Boone County,KY,13,1,3,3,0,1,0,2,0,3
2877,Boone County,WV,9,1,0,3,1,1,0,2,0,1
2878,Boone County,AR,9,1,2,1,1,1,0,2,0,1
2879,Boone County,MO,11,1,3,2,0,1,0,2,0,2
2880,Boone County,IL,10,1,2,1,0,1,0,2,0,3
2881,Bonneville County,ID,9,1,1,2,0,2,0,2,0,1
2882,Bonner County,ID,11,3,1,1,0,1,0,2,1,2
2883,Bond County,IL,10,1,2,1,0,2,0,3,0,1
2884,Bon Homme County,SD,9,1,2,2,0,1,0,2,0,1
2885,Bollinger County,MO,10,1,2,1,0,2,0,3,0,1
2886,Bolivar County,MS,13,1,3,2,1,2,0,3,0,1
2887,Boise County,ID,8,3,0,1,0,2,0,1,0,1
2888,Blue Earth County,MN,9,1,2,2,0,1,0,2,0,1
2889,Blount County,TN,12,1,1,3,0,2,0,2,0,3
2890,Blount County,AL,12,1,3,3,1,1,0,2,0,1
2891,Bledsoe County,TN,14,3,1,3,1,2,0,3,0,1
2892,Bleckley County,GA,14,3,3,1,2,1,0,3,0,1
2893,Bland County,VA,9,1,0,3,0,1,0,3,0,1
2894,Blanco County,TX,9,1,1,1,1,1,0,3,0,1
2895,Blair County,PA,9,1,1,3,0,1,0,1,0,2
2896,Blaine County,MT,8,1,1,3,0,1,0,1,0,1
2897,Blaine County,NE,6,1,1,1,0,1,0,1,0,1
2898,Blaine County,ID,11,3,1,1,0,2,0,1,2,1
2899,Blaine County,OK,8,1,3,1,0,1,0,1,0,1
2900,Bladen County,NC,13,3,1,1,3,1,0,3,0,1
2901,Blackford County,IN,9,1,3,1,0,1,0,2,0,1
2902,Black Hawk County,IA,11,1,3,1,0,1,0,2,0,3
2903,Bingham County,ID,9,2,1,1,0,2,0,2,0,1
2904,Billings County,ND,8,1,1,3,0,1,0,1,0,1
2905,Big Stone County,MN,6,1,1,1,0,1,0,1,0,1
