County,State,Hazard Score,Wildfire,Volcano,Tornado,Snowfall,Landslide,Hurricane,Earthquake,Drought,Heatwave,Avalanche,Flood
carroll,AR,9,Low,None,Medium,Low,Medium,None,Low,None,Low,None,Low
chicot,AR,13,Low,None,Medium,Low,Medium,Medium,Low,None,High,None,Low
clark,AR,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
clay,AR,11,Low,None,Medium,Low,Low,Low,High,None,Low,None,Low
cleburne,AR,14,Low,None,Medium,Low,Medium,None,Medium,None,High,None,High
cleveland,AR,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
columbia,AR,14,High,None,High,Low,Low,Medium,Low,None,Medium,None,Low
conway,AR,14,Low,None,High,Low,High,None,Medium,None,High,None,Low
craighead,AR,13,Low,None,Medium,Low,Low,None,High,None,High,None,Medium
crawford,AR,11,Medium,None,Medium,Low,Medium,None,Low,None,Medium,None,Low
crittenden,AR,16,Low,None,Medium,Low,Medium,Low,High,None,High,None,High
cross,AR,13,Low,None,Medium,Low,Low,None,High,None,High,None,Medium
dallas,AR,13,High,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
desha,AR,15,Low,None,Medium,Low,Medium,Medium,Medium,None,High,None,Medium
drew,AR,11,Low,None,Medium,Low,Low,Low,Low,None,High,None,Low
faulkner,AR,16,Low,None,High,Low,High,None,Medium,None,High,None,High
franklin,AR,12,Medium,None,Medium,Low,Medium,Low,Low,None,Medium,None,Low
fulton,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
garland,AR,13,Low,None,High,Low,Medium,Low,Low,None,High,None,Low
grant,AR,13,High,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
greene,AR,12,Low,None,Medium,Low,Low,Low,High,None,Low,None,Medium
hempstead,AR,12,Medium,None,Medium,Low,Low,Low,Low,None,High,None,Low
hot spring,AR,15,Medium,None,High,Low,Medium,Medium,Low,None,High,None,Low
howard,AR,11,Low,None,High,Low,Medium,None,Low,None,Medium,None,Low
independence,AR,15,Low,None,High,Low,Medium,Medium,Medium,None,High,None,Low
izard,AR,11,Low,None,Medium,Low,Low,None,Medium,None,High,None,Low
jackson,AR,13,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,Low
jefferson,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,High
johnson,AR,11,Low,None,High,Low,Medium,Low,Low,None,Low,None,Low
lafayette,AR,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
lawrence,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
lee,AR,12,Low,None,Low,Low,Medium,None,Medium,None,High,None,Medium
lincoln,AR,11,Low,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
little river,AR,9,Low,None,Low,Low,Low,None,Low,None,High,None,Low
logan,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
lonoke,AR,15,Low,None,High,Low,Medium,Low,Medium,None,High,None,Medium
madison,AR,8,Low,None,Low,Low,Medium,None,Low,None,Low,None,Low
marion,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
miller,AR,12,Medium,None,Medium,Low,Low,Low,Low,None,High,None,Low
mississippi,AR,17,Low,None,High,Low,Medium,Low,High,None,High,None,High
monroe,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,High
montgomery,AR,8,Low,None,Low,Low,Medium,None,Low,None,Low,None,Low
nevada,AR,14,High,None,Medium,Low,Low,Medium,Low,None,High,None,Low
newton,AR,10,Low,None,Low,Low,Medium,Low,Low,None,Medium,None,Low
ouachita,AR,14,High,None,Low,Low,Low,Medium,Low,None,High,None,Medium
perry,AR,12,Low,None,Medium,Low,High,None,Medium,None,Medium,None,Low
phillips,AR,12,Low,None,Medium,Low,Medium,None,Medium,None,Low,None,High
pike,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
poinsett,AR,12,Low,None,Medium,Low,Low,None,High,None,High,None,Low
polk,AR,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
pope,AR,10,Low,None,Medium,Low,Medium,None,Medium,None,Low,None,Low
prairie,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
pulaski,AR,15,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,High
randolph,AR,11,Low,None,Medium,Low,Low,Low,Medium,None,Medium,None,Low
saline,AR,15,Medium,None,High,Low,Medium,Low,Medium,None,Medium,None,Medium
scott,AR,11,Low,None,Low,Low,High,Low,Low,None,Medium,None,Low
searcy,AR,13,Low,None,Medium,Low,Medium,Low,Medium,None,High,None,Low
sebastian,AR,15,Medium,None,High,Low,High,None,Low,None,High,None,Medium
sevier,AR,11,Medium,None,Medium,Low,Low,None,Low,None,High,None,Low
sharp,AR,12,Low,None,Medium,Low,Low,Low,Medium,None,High,None,Low
st. francis,AR,14,Low,None,Medium,Low,Medium,None,Medium,None,High,None,High
stone,AR,12,Low,None,Medium,Low,Medium,None,Medium,None,High,None,Low
union,AR,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
van buren,AR,13,Low,None,Medium,Low,High,None,Medium,None,High,None,Low
washington,AR,10,Medium,None,Medium,Low,Medium,None,Low,None,Low,None,Low
white,AR,13,Low,None,High,Low,Medium,Low,Medium,None,Medium,None,Low
woodruff,AR,14,Low,None,High,Low,Low,Medium,Medium,None,High,None,Low
yell,AR,12,Low,None,Medium,Low,Medium,Low,Low,None,High,None,Low
apache,AZ,13,Medium,None,Low,Medium,Medium,None,Low,Low,High,None,Low
cochise,AZ,14,Medium,None,Low,Low,Low,Low,Low,Low,High,None,High
coconino,AZ,13,Medium,Low,Low,Medium,Low,None,Low,Low,High,None,Low
gila,AZ,12,High,None,Low,Low,Low,None,Low,Low,High,None,Low
graham,AZ,11,High,None,None,Low,Low,Low,Low,Low,Low,None,Medium
greenlee,AZ,12,High,None,None,Low,Low,Low,Low,Low,High,None,Low
la paz,AZ,12,Low,None,Low,Low,Low,None,Low,Low,High,None,High
maricopa,AZ,13,Medium,None,Low,Low,Low,None,Low,Low,High,None,High
mohave,AZ,13,Medium,Low,Low,Low,Low,None,Low,Low,High,None,Medium
navajo,AZ,13,Medium,None,Low,Medium,Medium,None,Low,Low,High,None,Low
pima,AZ,12,Medium,None,Low,Low,Low,Low,Low,Low,Medium,None,Medium
pinal,AZ,14,High,None,Low,Low,Low,None,Low,Low,High,None,High
santa cruz,AZ,12,High,None,None,Low,Low,Low,Low,Low,Medium,None,Medium
yavapai,AZ,13,High,None,Low,Low,Low,None,Low,Low,High,None,Medium
yuma,AZ,12,Low,None,Low,Low,Low,Low,Medium,Low,Low,None,High
alameda,CA,15,Medium,None,Low,Low,High,None,High,Low,Low,None,High
alpine,CA,17,High,None,None,High,Low,None,Medium,Medium,High,Medium,Low
amador,CA,12,High,None,None,Low,Low,None,Medium,Low,High,None,Low
butte,CA,13,High,None,Low,Low,Low,None,Medium,Low,Low,None,High
calaveras,CA,14,High,None,Low,Low,Low,None,Medium,Medium,High,None,Low
colusa,CA,14,Medium,None,None,Low,Medium,None,Medium,Low,High,None,High
contra costa,CA,14,Low,None,Low,Low,Medium,None,High,Medium,Low,None,High
del norte,CA,14,High,None,Low,Low,High,None,High,None,Medium,None,Low
el dorado,CA,17,High,None,Low,High,Low,None,Medium,Low,High,Medium,Low
fresno,CA,18,Medium,None,Low,Low,Medium,None,High,High,High,None,High
glenn,CA,16,High,None,Low,Low,Medium,None,Medium,Low,High,None,High
humboldt,CA,14,High,None,Low,Low,High,None,High,None,Medium,None,Low
imperial,CA,17,Low,Medium,Low,Low,Low,Low,High,Low,High,None,High
inyo,CA,15,Low,Medium,None,Low,Low,None,Medium,Medium,High,None,High
kern,CA,18,Medium,None,Low,Low,Medium,None,High,High,High,None,High
kings,CA,14,Low,None,Low,Low,Medium,None,Medium,High,Low,None,High
lake,CA,17,High,High,None,Low,High,None,High,Low,Low,None,Medium
lassen,CA,14,High,None,None,Medium,Low,None,High,Low,High,None,Low
los angeles,CA,20,High,None,Low,Low,Medium,None,High,High,High,Low,High
madera,CA,16,High,None,Low,Low,Low,None,Medium,High,High,None,Medium
marin,CA,14,High,None,Low,None,High,None,High,None,Low,None,High
mariposa,CA,16,High,None,Low,Medium,Low,None,Medium,High,High,None,Low
mendocino,CA,16,High,None,Low,Low,High,None,High,Low,High,None,Low
merced,CA,17,High,None,Low,Low,Medium,None,Medium,Medium,High,None,High
modoc,CA,13,High,None,None,Medium,Low,None,Medium,Low,High,None,Low
mono,CA,22,High,High,None,Medium,Low,None,High,Medium,High,Medium,High
monterey,CA,18,High,None,Low,Low,Medium,None,High,Medium,High,None,High
napa,CA,15,High,None,None,Low,Medium,None,High,Low,High,None,Medium
nevada,CA,16,High,None,None,High,Low,None,Medium,Low,High,Medium,Low
orange,CA,18,Medium,None,Medium,Low,Medium,None,High,High,Medium,None,High
placer,CA,17,High,None,Low,High,Low,None,Medium,Low,High,Medium,Low
plumas,CA,14,High,None,None,High,Low,None,Medium,Low,High,None,Low
riverside,CA,17,Medium,None,Low,Low,Low,Low,High,Medium,High,None,High
sacramento,CA,13,Low,None,Low,Low,Low,None,Medium,Low,High,None,High
san benito,CA,16,High,None,Low,Low,Medium,None,High,Medium,High,None,Low
san bernardino,CA,16,Low,Low,Low,Low,Low,None,High,Medium,High,Low,Medium
san diego,CA,17,High,None,Low,Low,Low,None,High,Medium,Medium,Low,High
san francisco,CA,10,Low,None,None,None,Medium,None,High,None,High,None,Low
san joaquin,CA,15,Low,None,Low,Low,Medium,None,Medium,Medium,High,None,High
san luis obispo,CA,17,High,None,Low,Low,Medium,None,High,High,Medium,None,Medium
san mateo,CA,14,High,None,Low,Low,Medium,None,High,None,Low,None,High
santa barbara,CA,18,High,None,Low,Low,Medium,None,High,High,High,None,Medium
santa clara,CA,17,High,None,Low,Low,High,None,High,Low,Medium,None,High
santa cruz,CA,15,High,None,Low,Low,Medium,None,High,Low,Medium,None,Medium
shasta,CA,17,High,Medium,None,Medium,Medium,None,Medium,Low,High,None,Medium
sierra,CA,15,High,None,Low,High,Low,None,Medium,Low,High,None,Low
siskiyou,CA,16,High,Medium,Low,Medium,Medium,None,Medium,None,High,None,Low
solano,CA,14,Low,None,Low,Low,Medium,None,High,Low,Medium,None,High
sonoma,CA,17,High,None,Low,Low,High,None,High,Low,Medium,None,High
stanislaus,CA,17,High,None,Low,Low,Medium,None,Medium,Medium,High,None,High
sutter,CA,13,Low,None,Low,Low,Low,None,Medium,Low,High,None,High
tehama,CA,15,High,None,Low,Low,Medium,None,Medium,Low,High,None,Medium
trinity,CA,15,High,None,None,Low,High,None,High,Low,High,None,Low
tulare,CA,20,High,Medium,Low,Medium,Low,None,Medium,High,High,None,High
tuolumne,CA,16,High,None,Low,High,Low,None,Medium,Medium,High,None,Low
ventura,CA,18,High,None,Low,Low,Medium,None,High,High,Medium,None,High
yolo,CA,14,Low,None,Low,Low,Medium,None,Medium,Low,High,None,High
yuba,CA,15,High,None,Low,Low,Low,None,Medium,Low,High,None,High
adams,CO,12,Low,None,High,Medium,Low,None,Low,None,Medium,None,Medium
alamosa,CO,12,Low,None,Low,Medium,Low,None,Medium,None,High,Low,Low
arapahoe,CO,13,Low,None,High,High,Medium,None,Low,None,Low,None,Medium
archuleta,CO,15,High,None,Low,High,Medium,None,Low,None,Medium,Medium,Low
baca,CO,8,Low,None,Low,Medium,Low,None,Low,None,Low,None,Low
bent,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
boulder,CO,16,Medium,None,Low,High,Medium,None,Low,None,Medium,Medium,High
broomfield,CO,16,Low,None,High,High,Medium,None,Low,None,Medium,Low,High
chaffee,CO,15,Low,None,Low,High,Medium,None,Medium,None,High,Medium,Low
cheyenne,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
clear creek,CO,15,Low,None,Low,High,Medium,None,Medium,None,High,Medium,Low
conejos,CO,13,Low,None,Low,High,Medium,None,Medium,None,High,None,Low
costilla,CO,13,Low,None,Low,High,Low,None,Medium,None,High,Low,Low
crowley,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
custer,CO,12,Low,None,Low,High,Medium,None,Medium,None,Low,Low,Low
delta,CO,18,Medium,None,Low,High,High,None,Medium,None,High,Medium,Medium
denver,CO,14,Low,None,High,High,Low,None,Low,None,Medium,None,High
dolores,CO,14,Medium,None,None,High,Medium,None,Low,None,High,Medium,Low
douglas,CO,14,Medium,None,High,High,Low,None,Low,None,Medium,None,Medium
eagle,CO,18,Medium,High,Low,High,High,None,Medium,None,High,None,Low
el paso,CO,11,Low,None,Medium,Medium,Medium,None,Low,None,Medium,None,Low
elbert,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
fremont,CO,12,Low,None,Low,High,Medium,None,Low,None,Medium,Low,Low
garfield,CO,13,High,None,None,High,High,None,Medium,None,Low,None,Low
gilpin,CO,13,Low,None,None,High,Medium,None,Medium,None,Medium,Medium,Low
grand,CO,16,Low,None,Low,High,High,None,Medium,None,Medium,High,Low
gunnison,CO,15,Low,None,None,High,High,None,Medium,None,Medium,High,Low
hinsdale,CO,15,Medium,None,None,High,High,None,Medium,None,Medium,Medium,Low
huerfano,CO,13,Low,None,Low,High,Medium,None,Low,None,High,Low,Low
jackson,CO,13,Low,None,Low,High,Medium,None,Medium,None,Medium,Low,Low
jefferson,CO,16,Medium,None,Low,High,Medium,None,Low,None,Medium,Medium,High
kiowa,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
kit carson,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
la plata,CO,17,High,None,Low,High,Medium,None,Low,None,High,Medium,Medium
lake,CO,11,Low,None,None,High,High,None,Medium,None,Low,None,Low
larimer,CO,14,Low,None,Low,High,Medium,None,Low,None,Medium,Medium,Medium
las animas,CO,10,Low,None,Low,Medium,Medium,None,Low,None,Medium,None,Low
lincoln,CO,11,Low,None,Medium,Medium,Medium,None,Low,None,Medium,None,Low
logan,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
mesa,CO,17,High,None,Low,Medium,High,None,Medium,None,High,Medium,Low
mineral,CO,13,Medium,None,Low,High,High,None,Medium,None,Low,None,Low
moffat,CO,15,Medium,None,Low,High,Medium,None,Medium,None,High,Low,Low
montezuma,CO,16,High,None,Low,High,Medium,None,Low,None,High,Medium,Low
montrose,CO,15,High,None,Low,Medium,Medium,None,Low,None,High,Medium,Low
morgan,CO,12,Low,None,High,Medium,Low,None,Low,None,High,None,Low
otero,CO,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
ouray,CO,16,Medium,None,None,High,High,None,Medium,None,High,Medium,Low
park,CO,13,Low,None,Low,High,Medium,None,Medium,None,Low,Medium,Low
phillips,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
pitkin,CO,17,Low,None,Low,High,High,None,Medium,None,High,High,Low
prowers,CO,10,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Medium
pueblo,CO,10,Low,None,Low,Medium,Medium,None,Low,None,Medium,None,Low
rio blanco,CO,16,High,None,Low,High,Medium,None,Medium,None,High,Low,Low
rio grande,CO,13,Low,None,Low,High,Medium,None,Low,None,High,None,Medium
routt,CO,14,Medium,None,Low,High,Medium,None,Medium,None,High,None,Low
saguache,CO,14,Low,None,Low,High,Medium,None,Medium,None,High,Low,Low
san juan,CO,15,Low,None,None,High,High,None,Medium,None,High,Medium,Low
san miguel,CO,15,Medium,None,None,High,Medium,None,Low,None,High,High,Low
sedgwick,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
summit,CO,14,Low,None,None,High,High,None,Medium,None,Low,High,Low
teller,CO,12,High,None,Low,High,Low,None,Low,None,Medium,None,Low
washington,CO,10,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,Low
weld,CO,12,Low,None,High,Medium,Medium,None,Low,None,Low,None,Medium
yuma,CO,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
fairfield,CT,12,Low,None,Low,Medium,Low,Medium,Low,None,Low,None,High
hartford,CT,14,Low,None,Medium,Medium,Medium,Medium,Low,None,Low,None,High
litchfield,CT,12,Low,None,Medium,High,Low,Medium,Low,None,Low,None,Low
middlesex,CT,14,Low,None,Medium,Medium,Low,High,Low,None,Low,None,High
new haven,CT,14,Low,None,Medium,Medium,Low,High,Low,None,Low,None,High
new london,CT,13,Low,None,Low,Medium,Low,High,Low,None,Low,None,High
tolland,CT,12,Low,None,Medium,Medium,Low,Medium,Low,None,Low,None,Medium
windham,CT,11,Low,None,Low,Medium,Low,High,Low,None,Low,None,Low
district of columbia,DC,17,Low,None,High,Medium,Medium,Medium,Low,None,High,None,High
kent,DE,14,Low,None,Medium,Medium,Low,Medium,Low,None,Medium,None,High
new castle,DE,14,Low,None,High,Medium,Low,None,Low,None,High,None,High
sussex,DE,12,Low,None,Low,Medium,Low,Medium,Low,None,Low,None,High
alachua,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
baker,FL,13,High,None,Low,Low,Low,High,Low,None,Low,None,Medium
bay,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
bradford,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
brevard,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
broward,FL,17,High,None,High,None,Low,High,Low,None,High,None,High
calhoun,FL,16,High,None,Medium,Low,Low,High,Low,None,Medium,None,High
charlotte,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
citrus,FL,17,High,None,High,None,Low,High,Low,None,High,None,High
clay,FL,15,High,None,Medium,Low,Low,High,Low,None,Low,None,High
collier,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
columbia,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
desoto,FL,15,Medium,None,Medium,None,Low,High,Low,None,High,None,High
dixie,FL,16,High,None,Low,Low,Low,High,Low,None,High,None,High
duval,FL,16,Medium,None,High,Low,Low,High,Low,None,Medium,None,High
escambia,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
flagler,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
franklin,FL,16,High,None,Medium,Low,Low,High,Low,None,Medium,None,High
gadsden,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
gilchrist,FL,16,High,None,Low,Low,Low,High,Low,None,High,None,High
glades,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
gulf,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
hamilton,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
hardee,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
hendry,FL,15,High,None,Low,None,Low,High,Low,None,High,None,High
hernando,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
highlands,FL,14,High,None,Medium,None,Low,High,Low,None,High,None,Low
hillsborough,FL,11,Low,None,High,None,Low,Medium,Low,None,Low,None,Medium
holmes,FL,13,Medium,None,Medium,Low,Low,High,Low,None,Medium,None,Low
indian river,FL,14,Medium,None,Medium,None,Low,High,Low,None,Medium,None,High
jackson,FL,13,Medium,None,Medium,Low,Low,High,Low,None,Medium,None,Low
jefferson,FL,14,Medium,None,Low,Low,Low,High,Low,None,Medium,None,High
lafayette,FL,17,High,None,Medium,Low,Low,High,Low,None,High,None,High
lake,FL,14,High,None,High,None,Low,High,Low,None,Low,None,Medium
lee,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
leon,FL,15,Medium,None,Medium,Low,Low,High,Low,None,High,None,Medium
levy,FL,14,High,None,Low,None,Low,High,Low,None,High,None,Medium
liberty,FL,13,High,None,Low,Low,Low,High,Low,None,Low,None,Medium
madison,FL,14,High,None,Medium,Low,Low,Medium,Low,None,Low,None,High
manatee,FL,15,Medium,None,High,None,Low,Medium,Low,None,High,None,High
marion,FL,13,High,None,Medium,None,Low,High,Low,None,Low,None,Medium
martin,FL,13,Medium,None,Medium,None,Low,High,Low,None,Low,None,High
miami-dade,FL,16,High,None,High,None,Low,High,Low,None,Medium,None,High
monroe,FL,12,Medium,None,Low,None,Low,High,Low,None,Medium,None,Medium
nassau,FL,15,High,None,Low,Low,Low,High,Low,None,Medium,None,High
okaloosa,FL,17,High,None,High,Low,Low,High,Low,None,High,None,Medium
okeechobee,FL,16,High,None,Medium,None,Low,High,Low,None,High,None,High
orange,FL,15,Medium,None,High,None,Low,High,Low,None,Medium,None,High
osceola,FL,14,High,None,Low,None,Low,High,Low,None,Medium,None,High
palm beach,FL,12,Low,None,Medium,None,Low,High,Low,None,High,None,Low
pasco,FL,16,Medium,None,High,None,Low,High,Low,None,High,None,High
pinellas,FL,14,Low,None,High,None,Low,High,Low,None,Medium,None,High
polk,FL,13,High,None,High,None,Low,High,Low,None,Low,None,Low
putnam,FL,15,High,None,Medium,Low,Low,High,Low,None,Low,None,High
santa rosa,FL,16,High,None,High,Low,Low,Medium,Low,None,Medium,None,High
sarasota,FL,14,High,None,High,None,Low,Medium,Low,None,High,None,Low
seminole,FL,15,Medium,None,High,None,Low,Medium,Low,None,High,None,High
st. johns,FL,16,High,None,Medium,Low,Low,High,Low,None,Medium,None,High
st. lucie,FL,15,Low,None,High,None,Low,High,Low,None,High,None,High
sumter,FL,14,Medium,None,Low,None,Low,High,Low,None,High,None,High
suwannee,FL,18,High,None,High,Low,Low,High,Low,None,High,None,High
taylor,FL,14,High,None,Low,Low,Low,High,Low,None,Low,None,High
union,FL,13,High,None,Medium,Low,Low,High,Low,None,Low,None,Low
volusia,FL,17,High,None,High,None,Low,High,Low,None,High,None,High
wakulla,FL,16,High,None,Low,Low,Low,High,Low,None,High,None,High
